team1,team2,winner,margin,matchDate,match_id,title_winner,season
Super Kings,Royals,Royals,5 wickets,"May 20, 2022",T203588,,2022
Titans,RCB,RCB,8 wickets,"May 19, 2022",T201867,,2022
Super Giants,KKR,Super Giants,2 runs,"May 18, 2022",T202863,,2022
Sunrisers,Mumbai,Sunrisers,3 runs,"May 17, 2022",T206060,,2022
Capitals,Punjab Kings,Capitals,17 runs,"May 16, 2022",T209295,,2022
Royals,Super Giants,Royals,24 runs,"May 15, 2022",T204939,,2022
Super Kings,Titans,Titans,7 wickets,"May 15, 2022",T204140,,2022
KKR,Sunrisers,KKR,54 runs,"May 14, 2022",T209676,,2022
Punjab Kings,RCB,Punjab Kings,54 runs,"May 13, 2022",T203332,,2022
Super Kings,Mumbai,Mumbai,5 wickets,"May 12, 2022",T203878,,2022
Royals,Capitals,Capitals,8 wickets,"May 11, 2022",T201826,,2022
Titans,Super Giants,Titans,62 runs,"May 10, 2022",T207400,,2022
KKR,Mumbai,KKR,52 runs,"May 9, 2022",T203087,,2022
Super Kings,Capitals,Super Kings,91 runs,"May 8, 2022",T205352,,2022
RCB,Sunrisers,RCB,67 runs,"May 8, 2022",T207464,,2022
Super Giants,KKR,Super Giants,75 runs,"May 7, 2022",T204710,,2022
Punjab Kings,Royals,Royals,6 wickets,"May 7, 2022",T201231,,2022
Mumbai,Titans,Mumbai,5 runs,"May 6, 2022",T201720,,2022
Capitals,Sunrisers,Capitals,21 runs,"May 5, 2022",T201248,,2022
RCB,Super Kings,RCB,13 runs,"May 4, 2022",T207511,,2022
Titans,Punjab Kings,Punjab Kings,8 wickets,"May 3, 2022",T209502,,2022
Royals,KKR,KKR,7 wickets,"May 2, 2022",T201137,,2022
Super Kings,Sunrisers,Super Kings,13 runs,"May 1, 2022",T206274,,2022
Super Giants,Capitals,Super Giants,6 runs,"May 1, 2022",T208561,,2022
Royals,Mumbai,Mumbai,5 wickets,"Apr 30, 2022",T204259,,2022
RCB,Titans,Titans,6 wickets,"Apr 30, 2022",T208841,,2022
Super Giants,Punjab Kings,Super Giants,20 runs,"Apr 29, 2022",T207116,,2022
KKR,Capitals,Capitals,4 wickets,"Apr 28, 2022",T209582,,2022
Sunrisers,Titans,Titans,5 wickets,"Apr 27, 2022",T209115,,2022
Royals,RCB,Royals,29 runs,"Apr 26, 2022",T205212,,2022
Punjab Kings,Super Kings,Punjab Kings,11 runs,"Apr 25, 2022",T207611,,2022
Super Giants,Mumbai,Super Giants,36 runs,"Apr 24, 2022",T208801,,2022
RCB,Sunrisers,Sunrisers,9 wickets,"Apr 23, 2022",T208774,,2022
Titans,KKR,Titans,8 runs,"Apr 23, 2022",T208514,,2022
